house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area,jarak_ke_kota_km
"Rumah 2 Lantai Bagus Sertifikat Hak Milik di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000.0,137,170,3.890906981
Rumah Cantik @ Andir (Sudirman),"Andir, Bandung",3,2,3,4100000000.0,202,300,3.890906981
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,1,3300000000.0,350,258,3.890906981
Rumah minimalis 3 lantai di andir Bandung cocok buat tempat usaha,"Andir, Bandung",2,2,1,580000000.0,30,80,3.890906981
Jual Rumah Murah Bisa Dijadikan Kos”an Di Jalan Maleber,"Andir, Bandung",11,3,0,1300000000.0,176,176,3.890906981
"Rumah 2,5 Lantai Strategis SHM di Komplek Kertalaksana Bandung","Andir, Bandung",5,3,1,3600000000.0,184,234,3.890906981
Rumah Bagus Semi Furnished Gateway Residence Gunung Batu Bandung,"Andir, Bandung",2,1,1,1170000000.0,65,45,3.890906981
Rumah 2 Lantai Cocok Untuk Gudang Dll Di Daerah Dadali Bandung,"Andir, Bandung",4,3,2,2900000000.0,260,260,3.890906981
Rumah Nyaman Di Tengah Kota dan Pusat Keramaian,"Andir, Bandung",5,3,2,4500000000.0,404,250,3.890906981
"Rumah Nyaman Siap Huni Di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000.0,137,170,3.890906981
Jual Rumah Bagus Taman Pesona Mediteran Sayap Paster Bandung,"Andir, Bandung",4,3,2,2200000000.0,172,220,3.890906981
RUMAH PUSAT KOTA SAYAP SUDIRMAN BANDUNG,"Andir, Bandung",2,2,1,1400000000.0,137,160,3.890906981
Dijual Rumah Di Tengah Kota Bandung,"Andir, Bandung",6,3,6,7000000000.0,188,260,3.890906981
"Rumah di Kertalaksana, Kong Liong, Bandung","Andir, Bandung",5,5,1,3600000000.0,184,250,3.890906981
"Rumah 3 Lantai Bagus Semi Furnished di Sayap Rajawali, Bandung","Andir, Bandung",6,5,1,7500000000.0,268,700,3.890906981
